name,phone,website,address,rating,reviews,city,state,category,place_id,business_status
SOLAR-MAIT India,,,"2nd Floor, Plot No 14 & 15, Najafgarh Rd, above SBI Bank, Ranaji Enclave, Masudabad, Nangli Sakrawati, New Delhi, Delhi, 110043, India",4.8,127,Delhi,Delhi,Solar Panel Dealers,ChIJrcvWplQDDTkRl5uIO3FwGiA,OPERATIONAL
J S SOLARTECH INDIA PRIVATE LIMITED,098108 05360,http://www.jssolartech.com/,"46, B Block, DDA Market, Pushpanjali Enclave, Pitampura, Delhi, 110034, India",4.9,151,Delhi,Delhi,Solar Panel Dealers,ChIJJ4-tFPoDDTkR0W4G7Gx6E20,OPERATIONAL
REPUBLIC SOLAR ( RPS) by Kamal Sound,098105 80436,https://www.facebook.com/abhishek.chowdhary.771?mibextid=ZbWKwL,"Stall No-60, 63, Diwan Hall Rd, near Moti Cinema Balkani Gate, opp. Grover Fruit Juice, Lajpat Rai Market, Chandni Chowk, New Delhi, Delhi, 110006, India",4.6,350,Delhi,Delhi,Solar Panel Dealers,ChIJv5WRYhz9DDkRE9yc6MfIKEE,OPERATIONAL
Amdi Enterprises,080762 74063,,"Block B, Sector 53, Noida, Uttar Pradesh 201301, India",4.9,144,Delhi,Delhi,Solar Panel Dealers,ChIJnW51dATlDDkRhycTi6L8Igw,OPERATIONAL
Pronounce Solar | Pronounce Sunhealth Services Pvt Ltd,083686 03894,https://pronouncesolar.in/,"First Floor, Plot No 30, Masoodpur Dairy, near JIMS, Masoodpur, Sector B, Vasant Kunj, New Delhi, Delhi 110070, India",4.7,162,Delhi,Delhi,Solar Panel Dealers,ChIJFZqfcPAfDTkRrwA2OChbZHM,OPERATIONAL
Bluebird Solar Pvt. Ltd.,,,"70, Fisrt Floor, Rajasthani Udyog Nagar Industrial Area, GT Karnal Rd, Block A, Jahangirpuri, Delhi, 110033, India",4.7,257,Delhi,Delhi,Solar Panel Dealers,ChIJW6Hs3ZABDTkRFk_Wvb8b9B8,OPERATIONAL
FRIEND SOLAR POWERTEK - BATTERYLESS INVERTER MANUFACTURERS IN DELHI | UPS MANUFACTURERS | SUPPLIERS | WHOLESALER | DEALER,092208 32177,https://friendsolars.com/,"25/3/1, Najafgarh Rd, Nangli Vihar Extension Part 1, nangali sakrawati industrial area, mahendra Park, Najafgarh, Delhi, 110043, India",5,9,Delhi,Delhi,Solar Panel Dealers,ChIJ-X5xdM0PDTkRsn6er-kEumo,OPERATIONAL
Solar Universe India Pvt. Ltd.,098102 88787,http://www.solaruniverseindia.com/,"A- 50/2, Block A, Mayapuri Industrial Area Phase I, Mayapuri, New Delhi, Delhi, 110064, India",3.9,17,Delhi,Delhi,Solar Panel Dealers,ChIJn-C-9mb9DDkRy1j2NxyxE_I,OPERATIONAL
sevenp solar energy pvt. ltd.,099998 10894,http://www.sevenpsolarenergy.com/,"286, Pocket 1, Sector 25, Rohini, Delhi, 110085, India",4.8,33,Delhi,Delhi,Solar Panel Dealers,ChIJGb5DQVcHDTkRQTJ2ELzyI0I,OPERATIONAL
J S SOLARTECH INDIA PRIVATE LIMITED,098108 05360,http://www.jssolartech.com/,"46, B Block, DDA Market, Pushpanjali Enclave, Pitampura, Delhi, 110034, India",4.9,151,Delhi,Delhi,Solar Inverter Specialists,ChIJJ4-tFPoDDTkR0W4G7Gx6E20,OPERATIONAL
"UTL Solar: Solar Company in Delhi, India",092508 85885,https://www.upsinverter.com/,"53 A/6, Rama Road Industrial Area, Near Sat Guru ram Singh Metro Station, Block B, Najafgarh Road Industrial Area, New Delhi, Delhi, 110015, India",4,376,Delhi,Delhi,Solar Inverter Specialists,ChIJd-3rnjD9DDkRX8Jd0xsrBd4,OPERATIONAL
"ABTON POWER DEVICES PVT LTD ( INVERTER, BATTERY & UPS )",098186 15350,https://inverterworld.in/,"shop no 45 , DDA local shopping center(LSC) mangla market , adjoining KALKAJI Head Post OFFICE, Block DD, Kalkaji Extension, Kalkaji, New Delhi, Delhi 110019, India",4.6,397,Delhi,Delhi,Solar Inverter Specialists,ChIJ68d22dvjDDkRhZ3aRzX3R8M,OPERATIONAL
Jangra Batteries & Solar Systems LLP,078619 58315,https://jangrabatteries.co.in/,"Plot No Wz 182, near Corporation Bank, Palam Village, Palam, New Delhi, Delhi, 110045, India",4.7,662,Delhi,Delhi,Solar Inverter Specialists,ChIJOQ_vWEAbDTkRezepJQO8zBs,OPERATIONAL
FRIEND SOLAR POWERTEK - BATTERYLESS INVERTER MANUFACTURERS IN DELHI | UPS MANUFACTURERS | SUPPLIERS | WHOLESALER | DEALER,092208 32177,https://friendsolars.com/,"25/3/1, Najafgarh Rd, Nangli Vihar Extension Part 1, nangali sakrawati industrial area, mahendra Park, Najafgarh, Delhi, 110043, India",5,9,Delhi,Delhi,Solar Inverter Specialists,ChIJ-X5xdM0PDTkRsn6er-kEumo,OPERATIONAL
"Solar India Enterprises supplier & manufactures Of solar panel, solar water heater & solar power plant in Delhi",098116 06202,https://www.solarindiaent.com/,"M-5/4-5-6, Vishal Market, West Mukherjee Nagar, Delhi - 110 009, India, West Mukherjee Nagar, Mukherjee Nagar, Delhi, 110033, India",4.6,48,Delhi,Delhi,Solar Inverter Specialists,ChIJ67gPhfv9DDkROwxSrT4EgNc,OPERATIONAL
Smarten Power Systems Ltd.,093196 99755,https://smartenpowersystems.in/,"Plot No -374, Pace City-II, Sector 37, Udyog Vihar Industrial Area Phase VI, Sector 37, Gurugram, Haryana 122004, India",4.5,1148,Delhi,Delhi,Solar Inverter Specialists,ChIJBchIBvIXDTkRI6Bc5cvFC3E,OPERATIONAL
SOLAR-MAIT India,084484 46252,https://solarmait.com/,"2nd Floor, Plot No 14 & 15, Najafgarh Rd, above SBI Bank, Ranaji Enclave, Masudabad, Nangli Sakrawati, New Delhi, Delhi, 110043, India",4.8,127,Delhi,Delhi,Solar Inverter Specialists,ChIJrcvWplQDDTkRl5uIO3FwGiA,OPERATIONAL
Pronounce Solar | Pronounce Sunhealth Services Pvt Ltd,083686 03894,https://pronouncesolar.in/,"First Floor, Plot No 30, Masoodpur Dairy, near JIMS, Masoodpur, Sector B, Vasant Kunj, New Delhi, Delhi 110070, India",4.7,162,Delhi,Delhi,Solar Inverter Specialists,ChIJFZqfcPAfDTkRrwA2OChbZHM,OPERATIONAL
SUNNYY INVERTOR & BATTERY,092128 64442,,"A-43, Rama Park Rd, Rama Park, Block A, Rama Park, Dwarka, New Delhi, Delhi, 110059, India",4.8,201,Delhi,Delhi,Solar Inverter Specialists,ChIJaynxEDkFDTkRXu1mpaMgaLw,OPERATIONAL
EcoSoch Solar Private Limited,081234 10101,https://www.ecosoch.com/,"940, 2nd phase, Sha Arcade, Nti Layout, Rajiv Gandhi Nagar, Kodigehalli, Bengaluru, Karnataka 560097, India",4.8,219,Bangalore,Karnataka,Residential Solar Installers,ChIJn6YyeBkYrjsRsf-1r6edKIo,OPERATIONAL
Power Planet - Best Solar Company in Bangalore,094839 79469,https://powerplanetindia.com/,"Nagarabhavi Main Rd, 2nd Block, Maruthi Nagar, Bengaluru, Karnataka 560072, India",4.9,97,Bangalore,Karnataka,Residential Solar Installers,ChIJX_Kj0wg_rjsRJynEtsBSpZM,OPERATIONAL
Orange Energy - Best Solar Company in Bangalore | Top Solar Panel Dealer | Best Solar System Company,099809 11183,https://orangeenergy.in/,"11, 3rd Cross Rd, Bachappa Layout, B Channasandra, Kasturi Nagar, Bengaluru, Karnataka 560043, India",5,35,Bangalore,Karnataka,Residential Solar Installers,ChIJPaehqc8RrjsR2p9lf0_rq-o,OPERATIONAL
Kamal Solar Head office,098807 39199,http://kamalsolar.com/,"Kamal Solar, 1445/4, Railway Parallel Rd, C Block, Sahakar Nagar, Bengaluru, Karnataka 560092, India",4.9,1017,Bangalore,Karnataka,Residential Solar Installers,ChIJz39aAZMXrjsRPNWezR-8y3w,OPERATIONAL
Supreme Solar Projects Private Limited,093796 61979,http://www.supremesolar.in/,"1st & 2nd Floor, 687, 3rd A Cross Rd, opp. Seshadripuram College, Yelahanka Satellite Town, Yelahanka New Town, Bengaluru, Karnataka 560064, India",4.5,789,Bangalore,Karnataka,Residential Solar Installers,ChIJb3hc_44XrjsRqx-9xInqy4k,OPERATIONAL
SunTrop Solar Pvt Ltd,080 2311 9520,http://www.suntropsolar.com/,"2nd floor, 31, 9th Main Rd, RPC layout, Hampi Nagar, Vijaya Nagar II Stage, Vijayanagar, Bengaluru, Karnataka 560104, India",4.8,107,Bangalore,Karnataka,Residential Solar Installers,ChIJGeY9hnQ-rjsRYBxeQnuXBP8,OPERATIONAL
Superior Solar Systems,,,"60/1, 80 Feet Ring Road, Mariyappanapalya Circle, Post, Gnana Bharathi, Bengaluru, Karnataka 560056, India",4.8,984,Bangalore,Karnataka,Residential Solar Installers,ChIJy-mglKw_rjsR2YQvtRuDcJA,OPERATIONAL
Vision Solar Systems | Solar Water Heater Supplier,096869 09083,https://visionsolarsystems.com/,"No 63, Ground Floor, 6th Cross Erappa Reddy Layout Parappana Agrahara, Manjunatha Nagar, Sai Sree Layout, Electronic City, Bengaluru, Karnataka 560100, India",4.9,142,Bangalore,Karnataka,Residential Solar Installers,ChIJLc74pVttrjsRh6YmQo-Qy6c,OPERATIONAL
SolarOhms Renewable Energy,,,"Vrindavanam, 4th Cross Road, #38, Oil Mill Rd, Peace Layout, Lingarajapuram, Bengaluru, Karnataka 560084, India",4.9,38,Bangalore,Karnataka,Residential Solar Installers,ChIJkRxMP-AWrjsRGGrL6AgtYCA,OPERATIONAL
Orb Energy,,,"95, Digital Park Rd, 2nd Stage, Yeswanthpur, Bengaluru, Karnataka 560022, India",4.7,903,Bangalore,Karnataka,Residential Solar Installers,ChIJO0d44tw9rjsRl_UgRi5Bg_o,OPERATIONAL
EcoSoch Solar Private Limited,081234 10101,https://www.ecosoch.com/,"940, 2nd phase, Sha Arcade, Nti Layout, Rajiv Gandhi Nagar, Kodigehalli, Bengaluru, Karnataka 560097, India",4.8,219,Bangalore,Karnataka,Commercial Solar Installers,ChIJn6YyeBkYrjsRsf-1r6edKIo,OPERATIONAL
Power Planet - Best Solar Company in Bangalore,094839 79469,https://powerplanetindia.com/,"Nagarabhavi Main Rd, 2nd Block, Maruthi Nagar, Bengaluru, Karnataka 560072, India",4.9,97,Bangalore,Karnataka,Commercial Solar Installers,ChIJX_Kj0wg_rjsRJynEtsBSpZM,OPERATIONAL
Orange Energy - Best Solar Company in Bangalore | Top Solar Panel Dealer | Best Solar System Company,099809 11183,https://orangeenergy.in/,"11, 3rd Cross Rd, Bachappa Layout, B Channasandra, Kasturi Nagar, Bengaluru, Karnataka 560043, India",5,35,Bangalore,Karnataka,Commercial Solar Installers,ChIJPaehqc8RrjsR2p9lf0_rq-o,OPERATIONAL
SunTrop Solar Pvt Ltd,080 2311 9520,http://www.suntropsolar.com/,"2nd floor, 31, 9th Main Rd, RPC layout, Hampi Nagar, Vijaya Nagar II Stage, Vijayanagar, Bengaluru, Karnataka 560104, India",4.8,107,Bangalore,Karnataka,Commercial Solar Installers,ChIJGeY9hnQ-rjsRYBxeQnuXBP8,OPERATIONAL
Dexler Energy Pvt. Ltd.,080 4070 9000,http://www.dexlerenergy.com/,"IndiQube, 2nd Floor, Lexington Towers, Tavarekere Main Rd, Tavarekere, Chikka Adugodi, S.G. Palya, Bengaluru, Karnataka 560029, India",4.5,27,Bangalore,Karnataka,Commercial Solar Installers,ChIJ1YxTzRsUrjsRh-X2tfVDHfg,OPERATIONAL
SunPV Energy Private Limited,096639 05993,http://www.sunpvenergy.com/,"345, 22nd Cross Rd, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102, India",5,19,Bangalore,Karnataka,Commercial Solar Installers,ChIJ9eeQ4DcRrjsRbGEwueWksiM,OPERATIONAL
Enerparc Energy Pvt. Ltd.,080 4941 4941,https://enerparc.in/,"No. 58, H M Towers, Unit No. 401, 4th Floor Eastern Wing, Brigade Rd, Ashok Nagar, Bengaluru, Karnataka 560025, India",4.9,27,Bangalore,Karnataka,Commercial Solar Installers,ChIJ26rsyYoXrjsRwMuyTskjrco,OPERATIONAL
Mecwin Technologies India Pvt Ltd - EV Motors and Solar Pumps,097412 29797,http://www.mecwinindia.com/,"65/3-1, opposite to Super Gas filling station, Yeshwanthpur Industrial Suburb, Yeswanthpur, Bengaluru, Karnataka 560022, India",4.8,359,Bangalore,Karnataka,Commercial Solar Installers,ChIJ7WzCbnE7rjsRjzvVaTT4hh8,OPERATIONAL
Skyfri Energy Private Limited,080 2359 8018,http://www.skyfri.com/,"No 527/B, Tejas Arcade, Regus Co-working 324, 4th Floor, 1st Main Road Dr, Dr Rajkumar Rd, A Block, Milk Colony, 2nd Stage, Rajajinagar, Bengaluru, Karnataka 560010, India",4.4,48,Bangalore,Karnataka,Commercial Solar Installers,ChIJTVbDbykWrjsRj6GqgdmuWes,OPERATIONAL
